Name,Mass,Pos.x,Pos.y,Pos.z,Vel.x,Vel.y,Vel.z
Sun,333000,0,0,0,0,0,0
Mercury,0.0553,-0.177,-0.428,-0.046,36.2,-15.8,-4.4
Venus,0.815,-0.72,0.065,0.041,-3.4,-34.8,1.8
Earth,1,0.182,0.967,0,-29.9,5.6,0
Mars,0.107,-1.08,-1.04,0.038,16.4,-18.6,-0.7
