Name,Mass,Pos.x,Pos.y,Pos.z,Vel.x,Vel.y,Vel.z
Sun,37049.6153,0.0,0.0,0.0,0.0,0.0,0.0
Mercury,37049.6153,-0.177,-0.428,-0.046,36.2,-15.8,-4.4
Venus,37049.6153,-0.72,0.065,0.041,-3.4,-34.8,1.8
Earth,37049.6153,0.182,0.967,0.0,-29.9,5.6,0.0
Mars,37049.6153,-1.08,-1.04,0.038,16.4,-18.6,-0.7
Jupiter,37049.6153,4.58,2.11,-0.09,-5.4,11.8,0.1
Saturn,37049.6153,9.32,-2.6,-0.32,2.6,8.8,-0.2
Uranus,37049.6153,15.5,12.3,-0.19,-4.2,5.0,0.06
Neptune,37049.6153,29.9,-1.06,-0.58,0.1,5.4,-0.08
